category,datetime,headline,id,image,related,source,summary,url
company,1729866240,"JPMorgan, Bank Of America, Citi Earnings Summaries: Playing Offense And Defense With 3 Bank Stocks",130727980,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg?io=getty-c-w1536,BAC,SeekingAlpha,"JPM reported a strong quarter again with revenue growing 6% y-o-y, versus the 1% EPS growth. Click to read.",https://finnhub.io/api/news?id=968c131db5606bdbb40b945abf07fa8ff2c8cef5ac04e8dc76bd433f0df1e48c
company,1729855560,"Bank of America may be targeted by activist investors, NY Post reports",130727379,,BAC,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=9497b9c819c81bceaaf728a13933ca49b2ed9c40cc41d6624c0101744fe797e8
company,1729846080,Camsing Healthcare to Change Auditors for Fresh Insights,130727381,,BAC,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=1b1d505a41831eed01be68525e27d304aec6ab74a16ed1cbc92f2576d6699cd4
company,1729826940,Week’s Best: Where Investment Pros Are Taking Profits,131048086,,BAC,MarketWatch,Week’s Best: Where Investment Pros Are Taking Profits,https://finnhub.io/api/news?id=6841b5655a84f34ae9aa77362c2e64f901dc7f7407a89d8ab96279808404947f
