category,datetime,headline,id,image,related,source,summary,url
company,1729870399,JP Morgan Initiates Coverage of PPL (PPL) with Overweight Recommendation,130722249,,PPL,Fintel,,https://finnhub.io/api/news?id=0d55701114c7c29729eaf52586b452f0fb56b3600c235f5a377c9d216203f93a
company,1729828920,PPL Corp. initiated with an Overweight at JPMorgan,130733074,,PPL,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=0b0db510231a5974784ccae23a35c0f62b62a18195bcaabcf0f6aeb8c3fb7c4c
company,1729828860,"PPL Corp. initiated with bullish view at JPMorgan, here's why",130733075,,PPL,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=351d5628f65ce5d718967dbe092fcead642527f34bded1d79ca1047cfd41f33d
