category,datetime,headline,id,image,related,source,summary,url
company,1729854020,A Closer Look At Las Vegas Sands Corp.'s (NYSE:LVS) Impressive ROE,130720205,https://media.zenfs.com/en/simply_wall_st__316/e802f13e850bddcb47ade82f6ffd147a,LVS,Yahoo,"One of the best investments we can make is in our own knowledge and skill set. With that in mind, this article will...",https://finnhub.io/api/news?id=94301d1f0056f9c046105bbfe6cae6894965854efa4af5700328a1d93b580540
company,1729853460,"DOJ files support for suit accusing Vegas hotels of price-fixing, Bloomberg says",130723379,,LVS,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=cba06d628876ac33f27bcf46088046d824082d11541f297cb96ac54c7bcbc178
company,1729847640,Election 2024: Where To Put Your Money Ahead of the Vote,130722553,,LVS,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=92831ae9029a6610fd044bf74525fd8dde90a395fd0019507649d85ee3dfcaff
company,1729831122,Las Vegas Sands to spend $8 billion to expand MBS resort in Singapore,130720206,https://media.zenfs.com/en/reuters-finance.com/ab8841b7764d0e6b771218d14ad78274,LVS,Yahoo,"Casino operator Las Vegas Sands plans to invest $8 billion in Singapore to expand its Marina Bay Sands resort, a major bet by the Nevada-based firm on the city-state's tourism market.  The project, dubbed IR2, is to build a fourth hotel tower that will include 570 luxury suites, gaming areas, a 15,000-seat arena, rooftop pools, food and beverage offerings and 110,000 square feet of space for exhibitions and conferences, the company said during its earnings presentation earlier this week.  ""When IR2 is open ... that arena is going to be an incredibly powerful tourism driver for the overall complex,"" LVS Chief Operating Officer, Patrick Dumont told analysts.",https://finnhub.io/api/news?id=98c70d20c97e4ab8ec28b6459500da825f3ba72333fca8b965ad09f6355bd7a4
company,1729824960,Bet On It: DOJ supports lawsuit alleging price fixing at Las Vegas hotels,130731035,,LVS,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=94149b457124432191d17ffd35dc34d1c983606c2020503a081fc85d7ed33f61
