category,datetime,headline,id,image,related,source,summary,url
company,1729863900,FedEx: A Long-Term Bet On Stability And Dividends (Rating Upgrade),130726268,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213536438/image_1213536438.jpg?io=getty-c-w1536,FDX,SeekingAlpha,"FedEx's Q1 2025 results missed expectations, yet the stock shows resilience. Learn more about FDX stock and my upgraded Buy rating for long-term investors.",https://finnhub.io/api/news?id=abc1e0555362296b70f3017081197c3a184c9e92fd0229b9854391d34a67311d
company,1729857478,FedEx Corporation (FDX) Detracted After Strong Q2,130734901,https://media.zenfs.com/en/insidermonkey.com/b3a5e4a0de96df00306311aafc088610,FDX,Yahoo,"Longleaf Partners, managed by Southeastern Asset Management, released its “Partners Fund” third quarter 2024 investor letter. A copy of the letter can be downloaded here. The fund returned 10.42% in the third quarter, compared to the S&P 500’s 5.89% return and Russell 1000 Value’s 9.43% return. In the quarter, there were very few detractors, and more […]",https://finnhub.io/api/news?id=4cb5ed4a4142e0c446c7adc6f2fbb6bd5d01f1d68b0e927965b60367c5549921
company,1729820460,Buy/Sell: Wall Street’s top 10 stock calls this week,130728616,,FDX,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d7afdabb88a25b113aa6e6814484c2cd8954f9549f3de96b873eca16fda8ba26
company,1729820220,Buy/Sell: Wall Street's top 10 stock calls this week,130728617,,FDX,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=00e0ee823356a5d7295ab71d4991670a8a37d7603b41c21cd2710fc695b6dfda
