category,datetime,headline,id,image,related,source,summary,url
company,1729870478,"Stocks to watch this week: BP, Shell, Uber, HSBC and Intel",130772190,https://s.yimg.com/ny/api/res/1.2/lmGJ1EjrFhBEbPCAFeD8AA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/e2cf0220-92e8-11ef-bece-e7934d5a2ec7,LIN,Yahoo,Earnings preview of key companies reporting this week and what to look out for.,https://finnhub.io/api/news?id=f3a7861825cae1949625d229883be87a61891618f6fa147c7e0c7bed20357368
company,1729870478,"Stocks to watch next week: BP, Shell, Uber, HSBC and Intel",130722189,https://s.yimg.com/ny/api/res/1.2/RhNbxPGcEGqrDM0SQ56kIg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/f1a31280-881d-11ef-9e7f-282211d38ce8,LIN,Yahoo,Earnings preview of key companies reporting next week and what to look out for.,https://finnhub.io/api/news?id=614894060a427a02efa7c46e1810fb7f3befb60b288e4444700b95277776ab0a
company,1729852200,Artisan Global Equity Fund Q3 2024 Commentary,130721454,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1335295270/image_1335295270.jpg?io=getty-c-w1536,LIN,SeekingAlpha,"The portfolio finished lower than its benchmark, the MSCI AC World Index, in Q3. Read more here.",https://finnhub.io/api/news?id=4049b9e5b0d81af968c904a0cc3f0201206044d5344fd4af3f785670c151765e
company,1729830598,"Linde: Too Pricey, Neutral Rated",130717015,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/903851270/image_903851270.jpg?io=getty-c-w1536,LIN,SeekingAlpha,"Linde's financial performance raises concerns as analysts' expectations surpass the company outlook, impacting valuation. Read more on LIN stock here.",https://finnhub.io/api/news?id=c89e448b32a2451c0d4439c783c85f3962b8617605fa71b7bfdd416fcd4ef686
