category,datetime,headline,id,image,related,source,summary,url
company,1729881972,"Exclusive-Blackstone in talks to buy US pipeline stakes from EQT for $3.5 billion, sources say",130740780,https://media.zenfs.com/en/reuters-finance.com/121848967bdf327b120ffc9ffc432ba1,BX,Yahoo,"Private equity firm Blackstone is in advanced talks to acquire minority stakes in the interstate natural gas pipelines owned by EQT Corp for about $3.5 billion, people familiar with the matter said on Friday.  If the talks are successful, the deal would help the natural gas producer slash the debt pile it accumulated from its acquisition of pipeline operator Equitrans Midstream earlier this year.  Blackstone is planning to make the investment through its credit and insurance arm, the sources said, requesting anonymity as the discussions are confidential.",https://finnhub.io/api/news?id=80344ae805689d4463fad433823eb84041172e8e61d16d71a8f972e34a2223e3
company,1729873165,Market Chatter: Blackstone Taps Banks for $3.64 Financing in AirTrunk Buyout,130740782,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BX,Yahoo,Market Chatter: Blackstone Taps Banks for $3.64 Financing in AirTrunk Buyout,https://finnhub.io/api/news?id=c609355286ea23de370670b7c042985faa374e2b11ddc06e7780763bb8524505
company,1729865847,Banks Said to Nudge Out Private Credit for AirTrunk Financing,130727301,https://s.yimg.com/ny/api/res/1.2/iBOCwJKiSFjIH6EUvy5Scg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03Mzk-/https://media.zenfs.com/en/bloomberg_markets_842/7eb979550b18178b76026d177e101606,BX,Yahoo,"(Bloomberg) -- Blackstone Inc. is tapping banks to provide the entire funding package for its proposed buyout of AirTrunk, sidelining a group of private credit funds that had been in the running to provide part of the financing, according to people familiar with the matter. Most Read from BloombergBooming Cambridge Exposes England’s Widening Wealth GapRobotaxis Are No Friend of Public TransportationOman Sees an Urban Future Distinct From Dubai and Abu DhabiArgentina Drug Trafficking Hotspot Sees",https://finnhub.io/api/news?id=c0ca2029557ba3245e01c7d5fcb8fa855565c0b86a703a590ebc30f6a52d724f
company,1729859940,10 Financials Stocks Whale Activity In Today's Session,130726932,,BX,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=6b34f19f3b375b01f518ba79edc156de6e44ed714e5ba6c325fe4a6433eb5a21
company,1729841580,"Dividend Roundup: Starbucks, Wells Fargo, Citigroup, Alcoa, and more",130727219,,BX,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=0b57ac1f8c8025edc8183f616218847b815f5dbdad18455d594eb8a8bd502b38
company,1729823100,EQT in talks to sell pipeline stakes to Blackstone for $3.5B - Reuters,130732436,,BX,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5f1bac00c0d78f47a4c6715dcba46bda0744ab62fc60012533f041e94c3dfefe
company,1729821360,"Blackstone in talks to acquire EQT pipeline interests for $3.5B, Reuters says",130732440,,BX,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2372b28a443a732b443e789b1986139a64ae4e7e6196f991112765f0c4ef62e4
